# ----------------------------------------,,,,,,
# Firebase overview,,,,,,
# ----------------------------------------,,,,,,
# How are active users trending?,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Nth day,30 days,7 days,1 day,,,
23053RN02Y,15,,,,,
CPH2179,15,,,,,
CPH2387,15,,,,,
D,15,,,,,
DRA-LX9,15,,,,,
ELN-L09,15,,,,,
MRD-LX1F,15,,,,,
P651W,15,,,,,
PR651E,15,,,,,
Pixel 6 Pro,15,,,,,
RMX2185,15,,,,,
S681LN,15,,,,,
SM-A326B,15,,,,,
SM-T290,15,,,,,
V2352,15,,,,,
W7002,15,,,,,
X6817,15,,,,,
Z2450,15,,,,,
2.4,14,,,,,
220333QNY,14,,,,,
2409BRN2CY,14,,,,,
BLL-L21,14,,,,,
C12,14,,,,,
CPH1823,14,,,,,
CPH1909,14,,,,,
JDY-LX2,14,,,,,
Moto G24,14,,,,,
P10001L,14,,,,,
P17 Pro,14,,,,,
P665L,14,,,,,
RMX3930,14,,,,,
RNE-L21,14,,,,,
SM-A266B,14,,,,,
SM-G960U1,14,,,,,
SM-G991B,14,,,,,
SM-M045F,14,,,,,
V2111,14,,,,,
X650D,14,,,,,
21061119AG,13,,,,,
2312BPC51X,13,,,,,
ANE-LX2,13,,,,,
BD2P,13,,,,,
CE8,13,,,,,
CPH2631,13,,,,,
IX,13,,,,,
LD7,13,,,,,
M2010J19SG,13,,,,,
NDL-W09,13,,,,,
Pixel 6a,13,,,,,
SM-A146U,13,,,,,
SM-A346E,13,,,,,
SM-A528B,13,,,,,
SM-N950F,13,,,,,
SM-T377V,13,,,,,
T20,13,,,,,
U70 Pro,13,,,,,
X1101B,13,,,,,
X6831,13,,,,,
X697,13,,,,,
iPhone 13 Pro,13,,,,,
901KC,12,,,,,
ATU-L31,12,,,,,
BE8,12,,,,,
C2 2nd Edition,12,,,,,
C21,12,,,,,
CI8,12,,,,,
CPH1937,12,,,,,
CPH2121,12,,,,,
CPH2127,12,,,,,
CRT-NX1,12,,,,,
FLA-LX2,12,,,,,
JSN-L22,12,,,,,
KFRAWI,12,,,,,
LI6,12,,,,,
SLA-L22,12,,,,,
SM-A145P,12,,,,,
SM-A155M,12,,,,,
SM-A156E,12,,,,,
SM-A366B,12,,,,,
SM-G955F,12,,,,,
SM-J415F,12,,,,,
SM-M146B,12,,,,,
SM-N950U,12,,,,,
TAB10,12,,,,,
TB-X606F,12,,,,,
X656,12,,,,,
X678B,12,,,,,
X689F,12,,,,,
1.4,11,,,,,
B1g,11,,,,,
BD4a,11,,,,,
CPH1931,11,,,,,
CPH2217,11,,,,,
CPH2269,11,,,,,
INE-LX1,11,,,,,
KB7j,11,,,,,
KE5S,11,,,,,
MRD-LX1,11,,,,,
P666L,11,,,,,
POT-LX1,11,,,,,
Redmi Note 9 Pro,11,,,,,
SM-M135F,11,,,,,
SM-T225,11,,,,,
SM-T387V,11,,,,,
TB310FU,11,,,,,
V2254,11,,,,,
V2333,11,,,,,
X665E,11,,,,,
X6850,11,,,,,
220733SG,10,,,,,
23108RN04Y,10,,,,,
24116RACCG,10,,,,,
9137W,10,,,,,
A661W,10,,,,,
AGS-L09,10,,,,,
BD2,10,,,,,
C20,10,,,,,
CLA6,10,,,,,
CLK-LX2,10,,,,,
CPH1903,10,,,,,
CPH2325,10,,,,,
CPH2333,10,,,,,
E70 Pro,10,,,,,
E71,10,,,,,
LC6,10,,,,,
M10,10,,,,,
M2004J19C,10,,,,,
P681L,10,,,,,
SM-A105FN,10,,,,,
SM-A145M,10,,,,,
SM-A705FN,10,,,,,
SM-E055F,10,,,,,
SM-G780F,10,,,,,
SM-G935F,10,,,,,
SM-G973F,10,,,,,
SM-G988U,10,,,,,
SM-G991U,10,,,,,
SM-M356B,10,,,,,
SM-S918B,10,,,,,
SM-T307U,10,,,,,
SM-X710,10,,,,,
T433D,10,,,,,
TPC1013_EEA,10,,,,,
Tab 60,10,,,,,
U2,10,,,,,
V2026,10,,,,,
VNE-LX2,10,,,,,
VOG-L29,10,,,,,
X692,10,,,,,
iPhone 13 Pro Max,10,,,,,
iPhone 8,10,,,,,
iPhone XS Max,10,,,,,
21121119SG,9,,,,,
2209116AG,9,,,,,
2410FPCC5G,9,,,,,
A631W,9,,,,,
C01 Plus,9,,,,,
CPH2219,9,,,,,
FIG-LX1,9,,,,,
L6501,9,,,,,
LC6a,9,,,,,
M2003J15SC,9,,,,,
P682L,9,,,,,
P904,9,,,,,
POT-LX1T,9,,,,,
Pulse,9,,,,,
S686LN,9,,,,,
SM-A055M,9,,,,,
SM-A202F,9,,,,,
SM-A520F,9,,,,,
SM-G9350,9,,,,,
SM-G960F,9,,,,,
SM-G973U,9,,,,,
SM-M336BU,9,,,,,
SM-P615,9,,,,,
SM-T505,9,,,,,
TB310XU,9,,,,,
